Player,Position,Team,Prop Type,Prop Value,Opposing Team,Stadium,Game-Time Temp (°F),Game-Time Humidity (%),Game-Time Wind Speed (mph),Game-Time Wind Dir (°),Game-Time Effect on Hitters,Odds Category,Start Time,Full Opposing Team,Opposing Pitcher,Pitcher Handedness,G_vs_rhp,AB_vs_rhp,H_vs_rhp,HR_vs_rhp,RBI_vs_rhp,PA_vs_rhp,AVG_vs_rhp,OBP_vs_rhp,SLG_vs_rhp,OPS_vs_rhp,G_vs_rhp_5,AB_vs_rhp_5,H_vs_rhp_5,HR_vs_rhp_5,RBI_vs_rhp_5,PA_vs_rhp_5,AVG_vs_rhp_5,OBP_vs_rhp_5,SLG_vs_rhp_5,OPS_vs_rhp_5,G_vs_rhp_10,AB_vs_rhp_10,H_vs_rhp_10,HR_vs_rhp_10,RBI_vs_rhp_10,PA_vs_rhp_10,AVG_vs_rhp_10,OBP_vs_rhp_10,SLG_vs_rhp_10,OPS_vs_rhp_10,G_vs_rhp_15,AB_vs_rhp_15,H_vs_rhp_15,HR_vs_rhp_15,RBI_vs_rhp_15,PA_vs_rhp_15,AVG_vs_rhp_15,OBP_vs_rhp_15,SLG_vs_rhp_15,OPS_vs_rhp_15,BB%_vs_rhp,K%_vs_rhp,BB/K_vs_rhp,ISO_vs_rhp,BABIP_vs_rhp,wOBA_vs_rhp,wRC+_vs_rhp,G_vs_lhp,AB_vs_lhp,H_vs_lhp,HR_vs_lhp,RBI_vs_lhp,PA_vs_lhp,AVG_vs_lhp,OBP_vs_lhp,SLG_vs_lhp,OPS_vs_lhp,G_vs_lhp_5,AB_vs_lhp_5,H_vs_lhp_5,HR_vs_lhp_5,RBI_vs_lhp_5,PA_vs_lhp_5,AVG_vs_lhp_5,OBP_vs_lhp_5,SLG_vs_lhp_5,OPS_vs_lhp_5,G_vs_lhp_10,AB_vs_lhp_10,H_vs_lhp_10,HR_vs_lhp_10,RBI_vs_lhp_10,PA_vs_lhp_10,AVG_vs_lhp_10,OBP_vs_lhp_10,SLG_vs_lhp_10,OPS_vs_lhp_10,G_vs_lhp_15,AB_vs_lhp_15,H_vs_lhp_15,HR_vs_lhp_15,RBI_vs_lhp_15,PA_vs_lhp_15,AVG_vs_lhp_15,OBP_vs_lhp_15,SLG_vs_lhp_15,OPS_vs_lhp_15,BB%_vs_lhp,K%_vs_lhp,BB/K_vs_lhp,ISO_vs_lhp,BABIP_vs_lhp,wOBA_vs_lhp,wRC+_vs_lhp,EV,Barrel%,Hard Hit %,xBA,xwOBA,Heart_Swing,Heart_Take,Heart_Run,Shadow_Swing,Shadow_Take,Shadow_Run,Chase_Swing,Chase_Take,Chase_Run,Waste_Swing,Waste_Take,Waste_Run,4seam_fastball_HardHit%,changeup_HardHit%,curveball_HardHit%,cutter_HardHit%,sinker_HardHit%,slider_HardHit%,sweeper_HardHit%,4seam_fastball_RV100,changeup_RV100,curveball_RV100,cutter_RV100,sinker_RV100,slider_RV100,sweeper_RV100,4seam_fastball_wOBA,changeup_wOBA,curveball_wOBA,cutter_wOBA,sinker_wOBA,slider_wOBA,sweeper_wOBA,4seam_fastball_xwOBA,changeup_xwOBA,curveball_xwOBA,cutter_xwOBA,sinker_xwOBA,slider_xwOBA,sweeper_xwOBA,Team Name,Weather Team Name,Park_Factor_Basic,Park_Factor_1B,Park_Factor_2B,Park_Factor_3B,Park_Factor_HR,Park_Factor_SO,Park_Factor_BB,Park_Factor_GB,Park_Factor_FB,Park_Factor_LD,Park_Factor_IFFB,Park_Factor_FIP,TB,AB,IBB,XBH,H,CS,BB,RBI,HBP,SB,2B,R,SH,PA,SO,3B,SF,GIDP,HR,Actual Stat,Hit
jose ramirez,IF,CLE,Hits+Runs+RBIs,2.5,CIN,Progressive Field,68.25,86,9.55,191,Tailwind: fly balls likely to carry → helps hitters.,base,Mon 6:40 PM,Reds,wade miley,left,60,174,53,10,21,195,0.305,0.369,0.54,0.909,5,11,4,1,2,13,0.364,0.462,0.727,1.189,10,24,11,3,4,29,0.458,0.552,0.917,1.468,15,44,18,3,6,50,0.409,0.48,0.727,1.207,8.7%,11.3%,0.77,0.236,0.299,0.387,154,37,60,25,2,10,68,0.417,0.456,0.6,1.056,5,9,3,0,0,10,0.333,0.4,0.333,0.733,10,19,8,0,1,20,0.421,0.45,0.474,0.924,15,29,13,0,2,30,0.448,0.467,0.517,0.984,8.8%,10.3%,0.86,0.183,0.434,0.44,190,88.9,8.6%,40.2%,0.314,0.367,190.0,81.0,-1.0,235.0,198.0,7.0,58.0,189.0,11.0,2.0,77.0,5.0,45.1,39.5,37.5,52.9,47.1,30.8,,2.5,1.3,3.0,-0.8,6.9,0.0,,0.463,0.348,0.368,0.313,0.561,0.354,,0.42,0.347,0.385,0.288,0.389,0.38,,Guardians,Guardians,99,100,101,89,98,101,101,101,96,99,96,99,1,3,0,0,1,0,1,1,0,1,0,1,0,4,0,0,0,0,0,3.0,1
tj friedl,OF,CIN,Hits+Runs+RBIs,1.5,CLE,Progressive Field,68.25,86,9.55,191,Tailwind: fly balls likely to carry → helps hitters.,base,Mon 6:40 PM,Guardians,luis l ortiz,right,57,169,53,4,18,198,0.314,0.401,0.456,0.857,5,11,1,0,1,14,0.091,0.286,0.091,0.377,10,24,6,1,2,29,0.25,0.379,0.417,0.796,15,39,15,1,3,46,0.385,0.478,0.513,0.991,12.1%,15.7%,0.77,0.142,0.36,0.378,138,36,67,16,1,5,77,0.239,0.329,0.328,0.657,5,6,1,1,2,8,0.167,0.286,0.667,0.952,10,14,4,1,2,18,0.286,0.412,0.5,0.912,15,27,6,1,2,31,0.222,0.3,0.444,0.744,10.4%,15.6%,0.67,0.09,0.278,0.3,84,86.9,2.0%,29.4%,0.254,0.31,194.0,110.0,-8.0,197.0,261.0,2.0,26.0,191.0,10.0,3.0,79.0,4.0,30.2,37.5,,,16.7,31.3,,1.2,1.8,,,-1.8,2.2,,0.407,0.398,,,0.294,0.356,,0.347,0.335,,,0.263,0.264,,Reds,Guardians,106,101,101,84,118,102,102,99,101,101,110,106,5,5,0,1,2,0,1,1,0,0,0,2,0,6,0,0,0,0,1,5.0,1
gabriel arias,IF,CLE,Hits+Runs+RBIs,1.5,CIN,Progressive Field,68.25,86,9.55,191,Tailwind: fly balls likely to carry → helps hitters.,base,Mon 6:40 PM,Reds,wade miley,left,54,147,37,3,22,166,0.252,0.321,0.374,0.695,5,10,2,0,1,11,0.2,0.273,0.3,0.573,10,23,6,0,5,26,0.261,0.346,0.391,0.737,15,38,8,0,6,44,0.211,0.318,0.289,0.608,6.6%,27.1%,0.24,0.122,0.337,0.31,100,35,60,13,1,3,64,0.217,0.266,0.35,0.616,5,13,4,0,0,13,0.308,0.308,0.462,0.769,10,22,5,0,0,23,0.227,0.261,0.364,0.625,15,28,6,0,0,30,0.214,0.267,0.321,0.588,6.3%,32.8%,0.19,0.133,0.316,0.272,73,89.7,9.7%,41.0%,0.229,0.306,172.0,35.0,-3.0,246.0,114.0,-6.0,64.0,146.0,2.0,5.0,56.0,4.0,57.1,,,,45.5,34.8,23.5,-0.3,,,,0.2,-2.1,-1.2,0.281,,,,0.368,0.208,0.223,0.361,,,,0.373,0.231,0.208,Guardians,Guardians,99,100,101,89,98,101,101,101,96,99,96,99,1,4,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1.0,0
will benson,OF,CIN,Total Bases,0.5,CLE,Progressive Field,68.25,86,9.55,191,Tailwind: fly balls likely to carry → helps hitters.,base,Mon 6:40 PM,Guardians,luis l ortiz,right,26,70,18,6,15,78,0.257,0.308,0.557,0.865,5,14,2,1,1,16,0.143,0.25,0.357,0.607,10,27,5,1,1,29,0.185,0.241,0.296,0.538,15,40,6,1,4,45,0.15,0.2,0.225,0.425,6.4%,26.9%,0.24,0.3,0.267,0.365,129,10,9,0,0,0,11,0.0,0.182,0.0,0.182,5,5,0,0,0,6,0.0,0.167,0.0,0.167,10,9,0,0,0,11,0.0,0.182,0.0,0.182,15,15,1,0,1,17,0.067,0.176,0.067,0.243,18.2%,36.4%,0.5,0.0,0.0,0.126,-35,91.8,17.9%,50.0%,0.275,0.385,80.0,18.0,1.0,84.0,76.0,-2.0,9.0,53.0,2.0,0.0,9.0,1.0,65.2,,,,,,,-1.7,,,,,,,0.21,,,,,,,0.363,,,,,,,Reds,Guardians,106,101,101,84,118,102,102,99,101,101,110,106,2,3,0,0,2,0,1,1,0,0,0,1,0,4,0,0,0,0,0,2.0,1
david fry,IF,CLE,Hits+Runs+RBIs,1.5,CIN,Progressive Field,68.25,86,9.55,191,Tailwind: fly balls likely to carry → helps hitters.,base,Mon 6:40 PM,Reds,wade miley,left,2,2,1,1,1,3,0.5,0.667,2.0,2.667,5,7,3,2,4,8,0.429,0.5,1.286,1.786,10,16,6,3,9,18,0.375,0.412,1.0,1.412,15,24,8,3,9,26,0.333,0.36,0.75,1.11,33.3%,33.3%,1.0,1.5,0.0,0.924,529,7,13,2,0,1,14,0.154,0.214,0.154,0.368,5,9,1,0,0,10,0.111,0.2,0.111,0.311,10,17,3,0,1,19,0.176,0.263,0.176,0.44,15,27,5,0,1,30,0.185,0.267,0.185,0.452,7.1%,50.0%,0.14,0.0,0.333,0.177,6,93.6,0.0%,57.1%,0.129,0.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guardians,Guardians,99,100,101,89,98,101,101,101,96,99,96,99,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0.0,0
elly de la cruz,IF,CIN,Hits+Runs+RBIs,1.5,CLE,Progressive Field,68.25,86,9.55,191,Tailwind: fly balls likely to carry → helps hitters.,base,Mon 6:40 PM,Guardians,luis l ortiz,right,59,167,48,10,33,193,0.287,0.378,0.527,0.905,5,11,3,0,1,16,0.273,0.5,0.455,0.955,10,24,9,3,5,32,0.375,0.531,0.875,1.406,15,34,13,4,10,43,0.382,0.512,0.824,1.335,11.9%,25.4%,0.47,0.24,0.349,0.389,146,46,82,15,2,10,89,0.183,0.247,0.28,0.528,5,5,0,0,0,6,0.0,0.167,0.0,0.167,10,14,1,0,0,15,0.071,0.133,0.143,0.276,15,25,2,0,0,27,0.08,0.148,0.12,0.268,7.9%,31.5%,0.25,0.098,0.25,0.229,36,91.5,14.5%,46.8%,0.252,0.349,176.0,99.0,-3.0,217.0,221.0,-8.0,69.0,213.0,8.0,2.0,84.0,5.0,65.0,23.5,33.3,,,47.6,,1.7,-0.8,1.1,,,-0.2,,0.442,0.283,0.36,,,0.278,,0.427,0.291,0.338,,,0.267,,Reds,Guardians,106,101,101,84,118,102,102,99,101,101,110,106,3,5,0,1,2,0,0,0,0,0,1,0,0,5,2,0,0,0,0,2.0,1
christian encarnacion-strand,IF,CIN,Hits+Runs+RBIs,1.5,CLE,Progressive Field,68.25,86,9.55,191,Tailwind: fly balls likely to carry → helps hitters.,base,Mon 6:40 PM,Guardians,luis l ortiz,right,18,54,15,5,11,58,0.278,0.31,0.611,0.921,5,17,7,3,8,18,0.412,0.444,1.059,1.503,10,34,10,3,8,35,0.294,0.314,0.618,0.932,15,45,11,4,10,49,0.244,0.286,0.556,0.841,3.4%,17.2%,0.2,0.333,0.25,0.389,145,8,16,1,0,0,16,0.063,0.063,0.063,0.125,5,9,1,0,0,9,0.111,0.111,0.111,0.222,10,21,2,0,0,21,0.095,0.095,0.095,0.19,15,32,5,0,2,33,0.156,0.182,0.188,0.369,0.0%,31.3%,0.0,0.0,0.091,0.056,-84,89.6,10.7%,46.4%,0.245,0.328,45.0,23.0,-4.0,65.0,44.0,3.0,24.0,32.0,0.0,3.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reds,Guardians,106,101,101,84,118,102,102,99,101,101,110,106,1,4,0,0,1,0,0,1,0,0,0,1,0,5,2,0,1,0,0,3.0,1
lane thomas,OF,CLE,Runs,0.5,CIN,Progressive Field,68.25,86,9.55,191,Tailwind: fly balls likely to carry → helps hitters.,base,Mon 6:40 PM,Reds,wade miley,left,16,42,6,0,2,47,0.143,0.213,0.167,0.379,5,14,2,0,1,17,0.143,0.235,0.143,0.378,10,25,3,0,1,29,0.12,0.207,0.12,0.327,15,41,6,0,2,46,0.146,0.217,0.171,0.388,6.4%,31.9%,0.2,0.024,0.214,0.181,10,10,17,1,0,1,18,0.059,0.056,0.059,0.114,5,7,0,0,0,7,0.0,0.0,0.0,0.0,10,17,1,0,1,18,0.059,0.056,0.059,0.114,15,27,3,1,5,28,0.111,0.107,0.222,0.329,0.0%,38.9%,0.0,0.0,0.091,0.049,-83,85.9,0.0%,25.6%,0.15,0.181,45.0,16.0,-5.0,61.0,47.0,-7.0,7.0,46.0,2.0,1.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guardians,Guardians,99,100,101,89,98,101,101,101,96,99,96,99,1,3,0,0,1,0,2,0,0,1,0,0,0,5,2,0,0,0,0,0.0,0
lane thomas,OF,CLE,Total Bases,1.5,CIN,Progressive Field,68.25,86,9.55,191,Tailwind: fly balls likely to carry → helps hitters.,base,Mon 6:40 PM,Reds,wade miley,left,16,42,6,0,2,47,0.143,0.213,0.167,0.379,5,14,2,0,1,17,0.143,0.235,0.143,0.378,10,25,3,0,1,29,0.12,0.207,0.12,0.327,15,41,6,0,2,46,0.146,0.217,0.171,0.388,6.4%,31.9%,0.2,0.024,0.214,0.181,10,10,17,1,0,1,18,0.059,0.056,0.059,0.114,5,7,0,0,0,7,0.0,0.0,0.0,0.0,10,17,1,0,1,18,0.059,0.056,0.059,0.114,15,27,3,1,5,28,0.111,0.107,0.222,0.329,0.0%,38.9%,0.0,0.0,0.091,0.049,-83,85.9,0.0%,25.6%,0.15,0.181,45.0,16.0,-5.0,61.0,47.0,-7.0,7.0,46.0,2.0,1.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guardians,Guardians,99,100,101,89,98,101,101,101,96,99,96,99,1,3,0,0,1,0,2,0,0,1,0,0,0,5,2,0,0,0,0,1.0,0
carlos santana,IF,CLE,Hits+Runs+RBIs,1.5,CIN,Progressive Field,68.25,86,9.55,191,Tailwind: fly balls likely to carry → helps hitters.,base,Mon 6:40 PM,Reds,wade miley,left,58,153,40,7,26,181,0.261,0.359,0.431,0.79,5,9,3,0,0,9,0.333,0.333,0.444,0.778,10,22,10,1,2,25,0.455,0.52,0.636,1.156,15,37,15,3,7,43,0.405,0.488,0.703,1.191,12.2%,17.7%,0.69,0.17,0.282,0.349,127,36,55,13,0,3,64,0.236,0.344,0.255,0.598,5,12,1,0,0,12,0.083,0.083,0.083,0.167,10,18,4,0,0,19,0.222,0.263,0.278,0.541,15,22,5,0,0,26,0.227,0.346,0.273,0.619,14.1%,17.2%,0.82,0.018,0.295,0.278,77,88.6,6.5%,42.3%,0.226,0.31,187.0,72.0,-8.0,226.0,232.0,-1.0,43.0,205.0,10.0,4.0,79.0,6.0,34.7,50.0,16.7,,66.7,55.6,,0.0,-0.9,-1.1,,1.5,1.4,,0.323,0.231,0.127,,0.417,0.329,,0.324,0.194,0.168,,0.413,0.295,,Guardians,Guardians,99,100,101,89,98,101,101,101,96,99,96,99,1,3,0,0,1,0,1,1,0,0,0,0,0,4,0,0,0,0,0,2.0,1
